Initial GenePool BestElite's Error Rate: 11.0%

   1-th training, BestElite's ErrorRate: 11.0%
   2-th training, BestElite's ErrorRate: 11.0%
   3-th training, BestElite's ErrorRate: 11.0%
   4-th training, BestElite's ErrorRate: 30.0%
   5-th training, BestElite's ErrorRate: 13.0%
   6-th training, BestElite's ErrorRate: 29.0%
   7-th training, BestElite's ErrorRate: 29.0%
   8-th training, BestElite's ErrorRate: 29.0%
   9-th training, BestElite's ErrorRate: 29.0%
  10-th training, BestElite's ErrorRate: 29.0%
  11-th training, BestElite's ErrorRate: 37.0%
  12-th training, BestElite's ErrorRate: 18.0%
  13-th training, BestElite's ErrorRate: 18.0%
  14-th training, BestElite's ErrorRate: 18.0%
  15-th training, BestElite's ErrorRate: 18.0%
  16-th training, BestElite's ErrorRate: 18.0%
  17-th training, BestElite's ErrorRate: 12.0%
  18-th training, BestElite's ErrorRate: 12.0%
  19-th training, BestElite's ErrorRate: 12.0%
  20-th training, BestElite's ErrorRate: 12.0%
  21-th training, BestElite's ErrorRate: 12.0%
  22-th training, BestElite's ErrorRate: 12.0%
  23-th training, BestElite's ErrorRate: 14.0%
  24-th training, BestElite's ErrorRate: 14.0%
  25-th training, BestElite's ErrorRate: 13.0%
  26-th training, BestElite's ErrorRate: 13.0%
  27-th training, BestElite's ErrorRate: 13.0%
  28-th training, BestElite's ErrorRate: 13.0%
  29-th training, BestElite's ErrorRate: 13.0%
  30-th training, BestElite's ErrorRate: 13.0%
  31-th training, BestElite's ErrorRate: 13.0%
  32-th training, BestElite's ErrorRate: 13.0%
  33-th training, BestElite's ErrorRate: 13.0%
  34-th training, BestElite's ErrorRate: 13.0%
  35-th training, BestElite's ErrorRate: 13.0%
  36-th training, BestElite's ErrorRate: 13.0%
  37-th training, BestElite's ErrorRate: 13.0%
  38-th training, BestElite's ErrorRate: 13.0%
  39-th training, BestElite's ErrorRate: 13.0%
  40-th training, BestElite's ErrorRate: 13.0%
  41-th training, BestElite's ErrorRate: 13.0%
  42-th training, BestElite's ErrorRate: 13.0%
  43-th training, BestElite's ErrorRate: 13.0%
  44-th training, BestElite's ErrorRate: 12.0%
  45-th training, BestElite's ErrorRate: 12.0%
  46-th training, BestElite's ErrorRate: 12.0%
  47-th training, BestElite's ErrorRate: 12.0%
  48-th training, BestElite's ErrorRate: 12.0%
  49-th training, BestElite's ErrorRate: 12.0%
  50-th training, BestElite's ErrorRate: 12.0%
  51-th training, BestElite's ErrorRate: 12.0%
  52-th training, BestElite's ErrorRate: 12.0%
  53-th training, BestElite's ErrorRate: 12.0%
  54-th training, BestElite's ErrorRate: 12.0%
  55-th training, BestElite's ErrorRate: 12.0%
  56-th training, BestElite's ErrorRate: 12.0%
  57-th training, BestElite's ErrorRate: 12.0%
  58-th training, BestElite's ErrorRate: 13.0%
  59-th training, BestElite's ErrorRate: 13.0%
  60-th training, BestElite's ErrorRate: 13.0%
  61-th training, BestElite's ErrorRate: 13.0%
  62-th training, BestElite's ErrorRate: 13.0%
  63-th training, BestElite's ErrorRate: 13.0%
  64-th training, BestElite's ErrorRate: 13.0%
  65-th training, BestElite's ErrorRate: 11.0%
  66-th training, BestElite's ErrorRate: 11.0%
  67-th training, BestElite's ErrorRate: 11.0%
  68-th training, BestElite's ErrorRate: 12.0%
  69-th training, BestElite's ErrorRate: 12.0%
  70-th training, BestElite's ErrorRate: 12.0%
  71-th training, BestElite's ErrorRate: 12.0%
  72-th training, BestElite's ErrorRate: 12.0%
  73-th training, BestElite's ErrorRate: 12.0%
  74-th training, BestElite's ErrorRate: 12.0%
  75-th training, BestElite's ErrorRate: 12.0%
  76-th training, BestElite's ErrorRate: 12.0%
  77-th training, BestElite's ErrorRate: 12.0%
  78-th training, BestElite's ErrorRate: 12.0%
  79-th training, BestElite's ErrorRate: 12.0%
  80-th training, BestElite's ErrorRate: 12.0%
  81-th training, BestElite's ErrorRate: 12.0%
  82-th training, BestElite's ErrorRate: 12.0%
  83-th training, BestElite's ErrorRate: 12.0%
  84-th training, BestElite's ErrorRate: 12.0%
  85-th training, BestElite's ErrorRate: 12.0%
  86-th training, BestElite's ErrorRate: 12.0%
  87-th training, BestElite's ErrorRate: 12.0%
  88-th training, BestElite's ErrorRate: 12.0%
  89-th training, BestElite's ErrorRate: 12.0%
  90-th training, BestElite's ErrorRate: 12.0%
  91-th training, BestElite's ErrorRate: 12.0%
  92-th training, BestElite's ErrorRate: 12.0%
  93-th training, BestElite's ErrorRate: 12.0%
  94-th training, BestElite's ErrorRate: 12.0%
  95-th training, BestElite's ErrorRate: 12.0%
  96-th training, BestElite's ErrorRate: 12.0%
  97-th training, BestElite's ErrorRate: 12.0%
  98-th training, BestElite's ErrorRate: 12.0%
  99-th training, BestElite's ErrorRate: 12.0%
 100-th training, BestElite's ErrorRate: 12.0%
 101-th training, BestElite's ErrorRate: 12.0%
 102-th training, BestElite's ErrorRate: 12.0%
 103-th training, BestElite's ErrorRate: 12.0%
 104-th training, BestElite's ErrorRate: 12.0%
 105-th training, BestElite's ErrorRate: 12.0%
 106-th training, BestElite's ErrorRate: 12.0%
 107-th training, BestElite's ErrorRate: 9.0%
 108-th training, BestElite's ErrorRate: 9.0%
 109-th training, BestElite's ErrorRate: 9.0%
 110-th training, BestElite's ErrorRate: 9.0%
 111-th training, BestElite's ErrorRate: 9.0%
 112-th training, BestElite's ErrorRate: 9.0%
 113-th training, BestElite's ErrorRate: 9.0%
 114-th training, BestElite's ErrorRate: 9.0%
 115-th training, BestElite's ErrorRate: 9.0%
 116-th training, BestElite's ErrorRate: 9.0%
 117-th training, BestElite's ErrorRate: 9.0%
 118-th training, BestElite's ErrorRate: 9.0%
 119-th training, BestElite's ErrorRate: 9.0%
 120-th training, BestElite's ErrorRate: 9.0%
 121-th training, BestElite's ErrorRate: 9.0%
 122-th training, BestElite's ErrorRate: 9.0%
 123-th training, BestElite's ErrorRate: 9.0%
 124-th training, BestElite's ErrorRate: 9.0%
 125-th training, BestElite's ErrorRate: 12.0%
 126-th training, BestElite's ErrorRate: 12.0%
