Initial GenePool BestElite's Error Rate: 14.0%

   1-th training, BestElite's ErrorRate: 14.0%
   2-th training, BestElite's ErrorRate: 14.0%
   3-th training, BestElite's ErrorRate: 14.0%
   4-th training, BestElite's ErrorRate: 11.0%
   5-th training, BestElite's ErrorRate: 14.0%
   6-th training, BestElite's ErrorRate: 15.0%
   7-th training, BestElite's ErrorRate: 15.0%
   8-th training, BestElite's ErrorRate: 15.0%
   9-th training, BestElite's ErrorRate: 17.0%
  10-th training, BestElite's ErrorRate: 12.0%
  11-th training, BestElite's ErrorRate: 10.0%
  12-th training, BestElite's ErrorRate: 10.0%
  13-th training, BestElite's ErrorRate: 10.0%
  14-th training, BestElite's ErrorRate: 10.0%
  15-th training, BestElite's ErrorRate: 10.0%
  16-th training, BestElite's ErrorRate: 10.0%
  17-th training, BestElite's ErrorRate: 10.0%
  18-th training, BestElite's ErrorRate: 10.0%
  19-th training, BestElite's ErrorRate: 10.0%
  20-th training, BestElite's ErrorRate: 10.0%
  21-th training, BestElite's ErrorRate: 10.0%
  22-th training, BestElite's ErrorRate: 12.0%
  23-th training, BestElite's ErrorRate: 13.0%
  24-th training, BestElite's ErrorRate: 13.0%
  25-th training, BestElite's ErrorRate: 13.0%
  26-th training, BestElite's ErrorRate: 13.0%
  27-th training, BestElite's ErrorRate: 13.0%
  28-th training, BestElite's ErrorRate: 13.0%
  29-th training, BestElite's ErrorRate: 11.0%
  30-th training, BestElite's ErrorRate: 11.0%
  31-th training, BestElite's ErrorRate: 11.0%
  32-th training, BestElite's ErrorRate: 11.0%
  33-th training, BestElite's ErrorRate: 11.0%
  34-th training, BestElite's ErrorRate: 11.0%
  35-th training, BestElite's ErrorRate: 11.0%
  36-th training, BestElite's ErrorRate: 11.0%
  37-th training, BestElite's ErrorRate: 12.0%
  38-th training, BestElite's ErrorRate: 12.0%
  39-th training, BestElite's ErrorRate: 12.0%
  40-th training, BestElite's ErrorRate: 12.0%
  41-th training, BestElite's ErrorRate: 12.0%
  42-th training, BestElite's ErrorRate: 11.0%
  43-th training, BestElite's ErrorRate: 11.0%
  44-th training, BestElite's ErrorRate: 11.0%
  45-th training, BestElite's ErrorRate: 11.0%
  46-th training, BestElite's ErrorRate: 11.0%
  47-th training, BestElite's ErrorRate: 11.0%
  48-th training, BestElite's ErrorRate: 11.0%
  49-th training, BestElite's ErrorRate: 11.0%
