Initial Perceptron Parameter's Error Rate: 50.0% -> [17.008437309084, 208.88779723500056, -261.07086504651943]

    1-th training, ErrorRate: 50.0% -> [16.008437309084, 140.88779723500056, -278.4708650465194]
    2-th training, ErrorRate: 32.0% -> [15.008437309084002, 76.08779723500056, -290.6708650465194]
    3-th training, ErrorRate: 50.0% -> [14.008437309084002, -13.612202764999438, -312.6708650465194]
    4-th training, ErrorRate: 50.0% -> [14.008437309084002, -13.612202764999438, -312.6708650465194]
    5-th training, ErrorRate: 50.0% -> [14.008437309084002, -13.612202764999438, -312.6708650465194]
    6-th training, ErrorRate: 50.0% -> [14.008437309084002, -13.612202764999438, -312.6708650465194]
    7-th training, ErrorRate: 50.0% -> [14.008437309084002, -13.612202764999438, -312.6708650465194]
    8-th training, ErrorRate: 50.0% -> [14.008437309084002, -13.612202764999438, -312.6708650465194]
    9-th training, ErrorRate: 50.0% -> [14.008437309084002, -13.612202764999438, -312.6708650465194]
   10-th training, ErrorRate: 50.0% -> [14.008437309084002, -13.612202764999438, -312.6708650465194]
   11-th training, ErrorRate: 50.0% -> [14.008437309084002, -13.612202764999438, -312.6708650465194]
   12-th training, ErrorRate: 50.0% -> [14.008437309084002, -13.612202764999438, -312.6708650465194]
   13-th training, ErrorRate: 50.0% -> [14.008437309084002, -13.612202764999438, -312.6708650465194]
   14-th training, ErrorRate: 50.0% -> [14.008437309084002, -13.612202764999438, -312.6708650465194]
   15-th training, ErrorRate: 50.0% -> [14.008437309084002, -13.612202764999438, -312.6708650465194]
   16-th training, ErrorRate: 50.0% -> [14.008437309084002, -13.612202764999438, -312.6708650465194]
   17-th training, ErrorRate: 50.0% -> [14.008437309084002, -13.612202764999438, -312.6708650465194]
   18-th training, ErrorRate: 50.0% -> [14.008437309084002, -13.612202764999438, -312.6708650465194]
   19-th training, ErrorRate: 50.0% -> [14.008437309084002, -13.612202764999438, -312.6708650465194]
   20-th training, ErrorRate: 50.0% -> [14.008437309084002, -13.612202764999438, -312.6708650465194]
   21-th training, ErrorRate: 50.0% -> [14.008437309084002, -13.612202764999438, -312.6708650465194]
   22-th training, ErrorRate: 50.0% -> [14.008437309084002, -13.612202764999438, -312.6708650465194]
   23-th training, ErrorRate: 50.0% -> [14.008437309084002, -13.612202764999438, -312.6708650465194]
   24-th training, ErrorRate: 50.0% -> [14.008437309084002, -13.612202764999438, -312.6708650465194]
